country,region,year,pct_renouvelable,pct_nucleaire,carbon_intensity_elec,rang_renouvelable,rang_carbone
Hungary,Est,2010,8.1,42.2,341.01,18,11
Romania,Est,2010,33.6,19.2,424.53,7,12
Italy,Ouest,2010,25.9,0.0,446.45,11,13
Netherlands,Ouest,2010,9.5,3.4,478.15,17,14
Ireland,Nord,2010,13.4,0.0,478.69,15,15
Germany,Autre,2010,16.9,22.5,516.65,13,16
United Kingdom,Autre,2010,6.9,16.3,517.2,20,17
Bulgaria,Est,2010,12.5,33.2,521.01,16,18
Denmark,Nord,2010,32.1,0.0,540.39,9,19
Czechia,Est,2010,6.9,32.9,593.64,20,20
Greece,Sud,2010,18.6,0.0,707.3,12,21
Poland,Est,2010,6.9,0.0,893.03,20,22
Norway,Nord,2015,98.0,0.0,33.64,1,1
Switzerland,Ouest,2015,62.2,34.9,35.57,6,2
Sweden,Nord,2015,63.3,34.8,40.86,5,3
France,Ouest,2015,16.0,76.2,59.17,18,4
Austria,Ouest,2015,77.0,0.0,172.06,2,5
Finland,Nord,2015,44.5,33.9,182.04,8,6
Belgium,Ouest,2015,21.1,38.1,215.55,16,7
Croatia,Est,2015,66.9,0.0,274.91,3,8
Hungary,Est,2015,10.6,52.2,299.04,22,9
Denmark,Nord,2015,65.8,0.0,313.76,4,10
Spain,Ouest,2015,35.0,20.6,328.5,11,11
Romania,Est,2015,39.9,17.7,369.02,9,12
United Kingdom,Autre,2015,24.6,20.8,397.79,15,13
Italy,Ouest,2015,38.9,0.0,398.68,10,14
Portugal,Sud,2015,47.6,0.0,413.96,7,15
Ireland,Nord,2015,28.3,0.0,439.28,14,16
Bulgaria,Est,2015,18.0,31.6,494.56,17,17
Germany,Autre,2015,29.4,14.4,503.59,12,18
Netherlands,Ouest,2015,12.6,3.7,551.43,20,19
Czechia,Est,2015,11.4,32.5,553.16,21,20
Greece,Sud,2015,29.1,0.0,603.53,13,21
Poland,Est,2015,13.8,0.0,826.11,19,22
Norway,Nord,2023,98.5,0.0,30.46,1,1
Switzerland,Ouest,2023,63.2,34.8,34.82,7,2
Sweden,Nord,2023,69.4,29.2,38.42,6,3
France,Ouest,2023,26.9,65.2,53.26,19,4
Finland,Nord,2023,51.9,42.1,81.21,9,5
Austria,Ouest,2023,84.8,0.0,111.72,3,6
Belgium,Ouest,2023,33.4,40.1,134.67,17,7
Denmark,Nord,2023,86.4,0.0,151.96,2,8
Portugal,Sud,2023,74.5,0.0,158.43,4,9
Spain,Ouest,2023,51.5,20.4,169.68,10,10
Croatia,Est,2023,70.1,0.0,194.95,5,11
Hungary,Est,2023,26.4,44.8,196.12,20,12
United Kingdom,Autre,2023,46.4,13.9,235.63,14,13
Romania,Est,2023,49.8,19.6,243.2,11,14
Netherlands,Ouest,2023,47.4,3.3,268.17,13,15
Ireland,Nord,2023,45.3,0.0,282.41,15,16
Italy,Ouest,2023,44.5,0.0,323.23,16,17
Greece,Sud,2023,49.8,0.0,336.4,11,18
Bulgaria,Est,2023,25.1,40.3,338.32,21,19
Germany,Autre,2023,54.7,1.4,362.92,8,20
Czechia,Est,2023,14.7,40.1,442.61,22,21
Poland,Est,2023,27.7,0.0,650.68,18,22
Norway,Nord,2025,99.0,0.0,28.11,1,1
Sweden,Nord,2025,71.2,27.6,35.26,6,2
Switzerland,Ouest,2025,67.8,29.9,39.22,7,3
France,Ouest,2025,26.1,68.8,41.44,21,4
Finland,Nord,2025,56.5,39.9,57.47,9,5
Denmark,Nord,2025,91.2,0.0,114.41,2,6
Austria,Ouest,2025,83.6,0.0,116.91,3,7
Portugal,Sud,2025,81.0,0.0,127.91,4,8
Belgium,Ouest,2025,38.9,33.1,149.82,17,9
Spain,Ouest,2025,55.9,18.8,153.6,10,10
Croatia,Est,2025,76.3,0.0,158.5,5,11
Hungary,Est,2025,35.3,40.0,163.02,18,12
United Kingdom,Autre,2025,52.0,12.4,217.41,11,13
Romania,Est,2025,47.0,20.5,250.75,16,14
Netherlands,Ouest,2025,51.2,3.0,253.56,12,15
Ireland,Nord,2025,48.1,0.0,256.54,15,16
Bulgaria,Est,2025,32.8,39.1,275.55,19,17
Italy,Ouest,2025,48.8,0.0,284.78,14,18
Greece,Sud,2025,49.7,0.0,315.09,13,19
Germany,Autre,2025,59.1,0.0,329.65,8,20
Czechia,Est,2025,16.8,42.3,401.46,22,21
Poland,Est,2025,31.5,0.0,588.6,20,22
