country,region,year,pct_renouvelable,pct_nucleaire,carbon_intensity_elec,rang_renouvelable,rang_carbone
Norway,Nord,2018,98.0,0.0,33.1,1,1
Switzerland,Ouest,2018,58.7,38.5,36.05,5,2
Sweden,Nord,2018,55.8,42.0,42.73,6,3
France,Ouest,2018,19.8,71.7,59.92,18,4
Austria,Ouest,2018,77.4,0.0,157.88,2,5
Belgium,Ouest,2018,23.2,38.7,186.95,16,6
Finland,Nord,2018,45.8,32.5,193.37,8,7
Croatia,Est,2018,72.3,0.0,201.18,3,8
Hungary,Est,2018,11.8,49.1,284.56,21,9
United Kingdom,Autre,2018,33.0,19.5,285.65,14,10
Spain,Ouest,2018,38.3,20.5,290.86,11,11
Denmark,Nord,2018,68.7,0.0,296.92,4,12
Romania,Est,2018,40.9,17.8,348.06,9,13
Portugal,Sud,2018,50.4,0.0,358.7,7,14
Ireland,Nord,2018,33.3,0.0,362.44,13,15
Italy,Ouest,2018,40.0,0.0,366.88,10,16
Bulgaria,Est,2018,20.2,34.7,442.7,17,17
Germany,Autre,2018,35.3,12.0,454.55,12,18
Netherlands,Ouest,2018,16.7,3.1,467.11,19,19
Czechia,Est,2018,10.9,34.5,532.59,22,20
Greece,Sud,2018,30.7,0.0,545.14,15,21
Poland,Est,2018,12.8,0.0,809.01,20,22
Norway,Nord,2024,98.6,0.0,29.66,1,1
Switzerland,Ouest,2024,67.4,30.6,34.58,7,2
Sweden,Nord,2024,69.4,29.4,34.91,6,3
France,Ouest,2024,27.2,67.7,40.48,21,4
Finland,Nord,2024,55.9,39.5,66.63,10,5
Austria,Ouest,2024,86.2,0.0,103.48,3,6
Portugal,Sud,2024,85.2,0.0,110.64,4,7
Belgium,Ouest,2024,35.2,41.1,126.96,17,8
Denmark,Nord,2024,89.2,0.0,131.77,2,9
Spain,Ouest,2024,57.3,19.4,146.22,9,10
Croatia,Est,2024,73.4,0.0,170.7,5,11
Hungary,Est,2024,31.5,42.2,184.47,18,12
United Kingdom,Autre,2024,50.6,14.3,216.5,12,13
Netherlands,Ouest,2024,50.7,2.9,250.72,11,14
Romania,Est,2024,46.5,20.7,251.33,15,15
Ireland,Nord,2024,46.5,0.0,270.91,15,16
Bulgaria,Est,2024,29.9,41.2,278.85,20,17
Italy,Ouest,2024,50.2,0.0,281.4,13,18
Greece,Sud,2024,49.2,0.0,321.65,14,19
Germany,Autre,2024,58.6,0.0,336.38,8,20
Czechia,Est,2024,16.9,40.8,414.23,22,21
Poland,Est,2024,31.1,0.0,608.18,19,22
Norway,Nord,2007,99.1,0.0,28.58,1,1
Switzerland,Ouest,2007,54.9,42.0,34.47,3,2
Sweden,Nord,2007,52.0,45.0,46.03,4,3
France,Ouest,2007,11.4,78.3,80.11,13,4
Belgium,Ouest,2007,4.0,55.6,224.28,20,5
Austria,Ouest,2007,68.7,0.0,232.69,2,6
Finland,Nord,2007,30.0,28.9,309.1,7,7
Hungary,Est,2007,4.7,36.7,385.89,19,8
Croatia,Est,2007,37.8,0.0,420.26,5,9
Spain,Ouest,2007,19.3,18.3,438.85,10,10
Portugal,Sud,2007,34.7,0.0,472.28,6,11
Italy,Ouest,2007,15.6,0.0,504.75,11,12
Netherlands,Ouest,2007,7.3,4.1,509.74,16,13
Romania,Est,2007,26.0,12.5,529.73,9,14
Ireland,Nord,2007,10.0,0.0,535.61,14,15
Germany,Autre,2007,14.2,22.3,551.81,12,16
United Kingdom,Autre,2007,5.0,15.9,556.06,18,17
Bulgaria,Est,2007,6.7,34.2,558.62,17,18
Denmark,Nord,2007,26.3,0.0,597.09,8,19
Czechia,Est,2007,3.9,29.8,652.27,21,20
Greece,Sud,2007,7.4,0.0,776.92,15,21
Poland,Est,2007,3.4,0.0,925.44,22,22
Switzerland,Ouest,2011,54.1,42.5,36.26,4,1
Norway,Nord,2011,96.8,0.0,38.36,1,2
Sweden,Nord,2011,56.0,40.2,52.3,3,3
France,Ouest,2011,11.6,77.9,74.62,15,4
Belgium,Ouest,2011,9.4,54.0,192.88,18,5
Austria,Ouest,2011,65.8,0.0,238.59,2,6
Finland,Nord,2011,32.9,31.6,268.16,8,7
Spain,Ouest,2011,30.0,19.8,337.28,9,8
Hungary,Est,2011,7.5,43.6,341.2,22,9
Croatia,Est,2011,47.0,0.0,374.89,5,10
Portugal,Sud,2011,46.6,0.0,375.05,6,11
Italy,Ouest,2011,27.8,0.0,445.59,10,12
Ireland,Nord,2011,20.2,0.0,455.88,13,13
Netherlands,Ouest,2011,10.9,3.7,472.3,16,14
Denmark,Nord,2011,40.4,0.0,486.47,7,15
Romania,Est,2011,26.4,19.0,490.62,11,16
United Kingdom,Autre,2011,9.6,18.7,499.63,17,17
Germany,Autre,2011,20.6,17.8,529.67,12,18
Bulgaria,Est,2011,7.8,32.6,577.66,21,19
Czechia,Est,2011,8.4,32.6,583.56,19,20
Greece,Sud,2011,13.9,0.0,725.06,14,21
Poland,Est,2011,8.1,0.0,881.69,20,22
Norway,Nord,2005,99.5,0.0,26.96,1,1
Switzerland,Ouest,2005,55.9,40.4,38.06,3,2
Sweden,Nord,2005,51.3,45.7,43.13,5,3
France,Ouest,2005,9.7,79.3,85.53,15,4
Finland,Nord,2005,33.2,33.0,230.87,7,5
Belgium,Ouest,2005,2.5,56.4,241.05,21,6
Austria,Ouest,2005,63.5,0.0,254.0,2,7
Croatia,Est,2005,54.1,0.0,336.4,4,8
Hungary,Est,2005,5.2,38.7,382.66,18,9
Bulgaria,Est,2005,9.8,42.5,453.86,14,10
Spain,Ouest,2005,14.6,19.9,475.06,11,11
Romania,Est,2005,34.1,9.4,489.97,6,12
Italy,Ouest,2005,16.4,0.0,510.17,10,13
Netherlands,Ouest,2005,7.6,4.1,511.72,16,14
United Kingdom,Autre,2005,4.3,20.5,535.26,19,15
Germany,Autre,2005,10.3,26.6,546.3,13,16
Denmark,Nord,2005,27.2,0.0,552.66,8,17
Ireland,Nord,2005,7.4,0.0,592.97,17,18
Portugal,Sud,2005,17.9,0.0,595.31,9,19
Czechia,Est,2005,3.8,30.2,646.65,20,20
Greece,Sud,2005,10.9,0.0,782.56,12,21
Poland,Est,2005,2.5,0.0,932.26,21,22
Norway,Nord,2013,98.0,0.0,33.95,1,1
Switzerland,Ouest,2013,59.2,37.8,35.52,4,2
Sweden,Nord,2013,54.0,43.4,44.7,6,3
France,Ouest,2013,17.2,73.5,76.29,15,4
Austria,Ouest,2013,78.2,0.0,173.35,2,5
Belgium,Ouest,2013,14.3,52.0,184.26,18,6
Croatia,Est,2013,66.6,0.0,256.1,3,7
Finland,Nord,2013,36.0,33.1,257.65,10,8
Spain,Ouest,2013,39.6,20.2,286.86,8,9
Hungary,Est,2013,9.2,50.8,317.48,22,10
Portugal,Sud,2013,58.5,0.0,340.42,5,11
Romania,Est,2013,34.6,20.0,389.76,11,12
Italy,Ouest,2013,39.2,0.0,398.96,9,13
